버전,기능/ 비기능,사용자,분류,요구 사항,세부 요구사항,"제약사항, 상세 내용 등",중요도,수용 여부,페이지 / 컴포넌트,작성일,작성자,변경일,요구사항 추적,래퍼런스
v.01,비기능,All,,위치정보 이용 동의(필수),,,,FALSE,,,이원영,,,
v.01,비기능,All,,본인확인 동의(필수),,,,FALSE,,,신은지,,,
,,,,,,,,FALSE,,,신은지,,,
v.01,기능,All,,"사용자 계정 생성하기
(회원가입)","소셜 회원가입(카카오톡)
회원가입 시 등록된 정보 : 
이름, 생년월일, 전화번호, 닉네임, 성별

14세 미만 회원가입 로직)
약관동의 -> 본인인증 -> 법정대리인 동의 -> 회원가입 -> 홈


회원가입 시 입력 항목
- 성함 : 7글자 이내 한글 입력
- 성별: '여성' 혹은 '남성' 토글로 선택
- 생년월일: YYYY.MM.DD 형식으로 달력에서 선택
- 전화번호: 11자리 숫자 입력

- 닉네임 설정:
)닉네임 설정 시 비속어 금지
)10글자 이내 설정 제한
)영문 대소문자, 숫자, 특수문자 조합 

- 비밀번호 설정:
) 8글자 이상 24글자 이하 설정 제한
) 영문 대소문자, 숫자, 특수문자 모두 사용한 조합 필수 요구
",,,FALSE,,26.06.03,신은지,,,
v.01,기능,All,,사용자 로그인하기,소셜 로그인(카카오톡) / 이메일 로그인,,,FALSE,,,신은지,,,
v.01,기능,All,,사용자 로그아웃하기,- 현재 로그인된 계정에서 로그아웃,,,FALSE,,26.06.04,신은지,,,
v.01,기능,All,,사용자 회원탈퇴하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,관리자,,사용자 목록 조회하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 소장,,담당자별 작업 목록 조회하기,,,,FALSE,,26.06.04,신은지,,,
,기능,기공소 소장,,기공소 직원 초대하기,,,,FALSE,,,,,,
,기능,기공소 소장,,직원 권한 설정하기,,,,FALSE,,,,,,
,,,,,,,,FALSE,,,,,,
v.01,기능,기공소/ 치과,,의뢰서 조회하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소/ 치과,,의뢰서 수정 이력 조회하기,,,,FALSE,,,,,,
v.01,기능,기공소/ 치과,,의뢰서 상태 조회하기,"상태 값:
- OCR 처리 중
- OCR 보정 필요
- 등록 완료
- 검토 중
- 치과 확인 필요
- 확정 (※ 담당 직원만 확정 상태로 변경 가능)
- 수정 요청
- 보류
- 삭제 처리",,,FALSE,,,,,,
v.01,기능,기공소 전원,,(OCR 기능으로) 새의뢰서 등록하기,,,,FALSE,,26.06.04,신은지,,,
,비기능,기공소 전원,,임플란트/ 어버트먼트 정보 누락 감지하기,,,,FALSE,,,,,,
,비기능,기공소 전원,,재료/보철 정보  불일치 감지하기,,,,FALSE,,,,,,
v.01,기능,기공소 전원,,OCR 인식 결과 보정하기,,의뢰서 수정은 법적으로 치과의사만 가능할 수도 있음,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,의뢰서 삭제하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,삭제된 의뢰서 복구하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,의뢰서 영구 삭제하기,,,,FALSE,,,,,,
v.01,기능,기공소 직원,,확정 의뢰서 정보 수정 요청하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 소장,,확정 의뢰서 수정 승인하기,,,,FALSE,,,,,,
v.01,기능,기공소 소장,,의뢰서 담당자 지정하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,의뢰서 검색하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,의뢰서 필터링으로 검색하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,의뢰서 정렬하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,의뢰서 변경 로그 조회하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 소장,,필수 의뢰서 항목 설정하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 소장,,치식 표기 방식 설정하기,,,,FALSE,,26.06.04,신은지,,,
v.01,비기능,관리자,,의뢰서 중복 감지하기,"중복 판단 기준 :
- 동일 치과
- 동일 환자명 또는 케이스 ID
- 동일 치식
- 동일 보철 종류
- 동일 납기일 또는 유사 접수일",,,FALSE,,,,,,
,,,,,,,,FALSE,,,,,,
v.01,기능,기공소 전원,,케이스 매칭 조회하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,케이스 매칭 수정하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,케이스 삭제하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,케이스 생성하기,,,,FALSE,,26.06.04,신은지,,,
v.01,비기능,기공소 전원,,의뢰서에서 케이스 자동 생성하기,,,,FALSE,,,,,,
v.01,기능,기공소 소장,,케이스 담당자 지정하기,,,,FALSE,,26.06.04,신은지,,,
