대분류,중분류,소분류,세분류(주요품목) ,발전단계,가치사슬
A. 광물,A01. 규산질 원료,A0101. 규사[quartz sand],천연규사 · 인조규사,전통,원료
A. 광물,A01. 규산질 원료,A0102. 규조토,alpha-quartz · cristobalite · tridymite · 비결정질 실리카,전통,원료
A. 광물,A02. 규산 알루미늄 원료,A0201. 실리마나이트족 광물,규선석(sillimanite) · 홍주석(andalusite) · 남정석(kyanite),전통,원료
A. 광물,A02. 규산 알루미늄 원료,A0202. 카올린족 광물,카올리나이트(kalinite) · 나크라이트(nacrite) · 딕카이트(dickite) · 할로이사이트(halloysite · 고령토) ,전통,원료
A. 광물,A02. 규산 알루미늄 원료,A0203. 엽납석,다이아스포어(diaspore)질 납석 · 딕카이트(dickite)질 납석 · 파이로필라이트(pyrophyllite)질 납석 · 규산질 납석 · 세리사이트(sericite)질 납석 · 듀모르테라이트(dumortierite)질 납석,전통,원료
A. 광물,A02. 규산 알루미늄 원료,A0204. 점토,일차점토와 이차점토 · 용도에 따라 가소성점토 · 내화점토 · 벽돌용점토 · 석기점토 · 화장토 · 유약용점토 · 법랑용점토 · 제지용점토 · 벤토나이트로 구분. 광물로는 pyrophyllite · talc · montmorillonite · saponite · beidellite · hectorite · vermiculite · sericite · illite · 백운모 · 금운모,전통,원료
A. 광물,A03. 알루미나 원료,A0301. 강옥,alpha-Al₂O₃ · 루비 · 사파이어,전통,원료
A. 광물,A03. 알루미나 원료,A0302. 보크사이트,베마이트(boehmite) · 다이아스포어(diaspore) · 깁사이트(gibbsite) · 하이드라르길라이트(hydrargillite)의 혼합물,전통,원료
A. 광물,A03. 알루미나 원료,A0303. 다이아스포어,베마이트(boehmite) · 다이아스포어(diaspore),전통,원료
A. 광물,A04. 석회 원료,A0401. 석회석,칼사이트(calcite) · 아라고나이트(aragonite) · 생석회 · 소석회 · 석회석,전통,원료
A. 광물,A04. 석회 원료,A0402. 형석,CaF₂,전통,원료
A. 광물,A04. 석회 원료,A0403. 규회석,규산칼슘 · CaSiO₃ · CaO-SiO₂,전통,원료
A. 광물,A04. 석회 원료,A0404. 석고,투석고(selenite) · 설화석고(alabaster) · 섬유석고(salinspar) · 경석고(anhydrite) · 무수석고(CaSO₄),전통,원료
A. 광물,A04. 석회 원료,A0405. 인산석회,인회석과 골회,전통,원료
A. 광물,A05. 마그네시아 원료,A0501. 마그네사이트,MgCO₃ · 조립결정질 · 괴상,전통,원료
A. 광물,A05. 마그네시아 원료,A0502. 돌로마이트,MgCO₃-CaCO₃,전통,원료
A. 광물,A05. 마그네시아 원료,A0503. 해수마그네시아,브루사이트(brucite) · MgCl₂,전통,원료
A. 광물,A05. 마그네시아 원료,A0504. 마그네슘규산염,감람석(olivines · (Mg ·Fe)₂SiO₄) · 휘석 · 각섬석 · 사문석 (serpenitine · 3MgO-2SiO₂-2H₂O · Mg6Si₄O10(OH)8) · 활석(talc ·3MgO-4SiO₂-H₂O · Mg₃(SiO5)₂(OH)₂),전통,원료
A. 광물,A06. 장석질 원료,A0601. 정장석,칼리장석 · K₂O-Al₂O₃-6SiO₂ 또는 KAlSi₃O8 · 퍼사이트장석(perthite),전통,원료
A. 광물,A06. 장석질 원료,A0602. 미사장석,K₂O-Al₂O₃-6SiO₂,전통,원료
A. 광물,A06. 장석질 원료,A0603. 소다장석,Na₂O-Al₂O₃-6SiO₂ 또는 NaAlSi₃O8,전통,원료
A. 광물,A06. 장석질 원료,A0604. 석회장석,CaO-Al₂O₃-2SiO₂ 또는 CalAl₂Si₂O8,전통,원료
A. 광물,A06. 장석질 원료,A0605. 사장석,화성암 · 변성암,전통,원료
A. 광물,A07. 붕소 원료,A0701. 붕사[borax],Na₂O-2B₂O₃-10H₂O · Na₂B₄O7-10H₂O · 결정붕사 · 탈수붕사 · 유리붕사,전통,원료
A. 광물,A07. 붕소 원료,A0702. 붕산[boric acid],H₃BO₃,전통,원료
A. 광물,A08. 바륨 원료,A0801. 중정석,BaSO₄,전통,원료
A. 광물,A08. 바륨 원료,A0802. 독중석,BaCO₃,전통,원료
